symbol,company_name,sector,industry,market_cap_today,date,open,high,low,close,adj_close,volume
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-04-07 04:00:00,177.2,200.61,169.21,198.15,197.29,675037600
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-04-14 04:00:00,211.44,212.94,192.37,196.98,196.125,264593900
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-04-21 04:00:00,193.27,209.75,189.81,209.28,208.372,238181400
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-04-28 04:00:00,210,214.56,202.16,205.35,204.459,286233500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-05-05 04:00:00,203.1,204.1,193.25,198.53,197.668,275704500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-05-12 04:00:00,210.97,213.94,206.75,211.26,210.343,264778300
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-05-19 04:00:00,207.91,209.48,193.46,195.27,194.678,273024200
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-05-26 04:00:00,198.3,203.81,196.78,200.85,200.241,223844900
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-06-02 04:00:00,200.28,206.24,200.12,203.92,203.301,227142700
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-06-09 04:00:00,204.39,206,195.7,196.45,195.854,283877000
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-06-16 04:00:00,197.3,201.7,195.07,201,200.39,224085100
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-06-23 04:00:00,201.63,203.67,198.96,201.08,200.47,273391700
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-06-30 04:00:00,202.01,214.65,199.26,213.55,212.902,273599300
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-07-07 04:00:00,212.68,216.23,207.22,211.16,210.519,226036700
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-07-14 04:00:00,209.93,212.4,207.54,211.18,210.539,225669600
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-07-21 04:00:00,212.1,215.78,211.63,213.88,213.231,231062200
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-07-28 04:00:00,214.03,214.85,201.5,202.38,201.766,319915100
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-08-04 04:00:00,204.51,231,201.68,229.35,228.654,431826300
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-08-11 04:00:00,227.92,235.12,224.76,231.59,230.887,295265800
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-08-18 04:00:00,231.7,233.12,223.78,227.76,227.327,192241700
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-08-25 04:00:00,226.48,233.41,224.69,232.14,231.698,194310800
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-09-01 04:00:00,229.25,241.32,226.97,239.69,239.234,212923200
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-09-08 04:00:00,239.3,240.15,225.95,234.07,233.625,304787000
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-09-15 04:00:00,237,246.3,235.03,245.5,245.033,360619500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-09-22 04:00:00,248.3,257.6,248.12,255.46,254.974,309374700
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-09-29 04:00:00,254.56,259.24,253.01,258.02,257.529,218331700
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-10-06 04:00:00,257.99,259.07,244,245.27,244.803,213437900
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-10-13 04:00:00,249.38,253.38,244.7,252.29,251.81,196438500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-10-20 04:00:00,255.89,265.29,255.43,262.82,262.32,253202800
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-10-27 04:00:00,264.88,277.32,264.65,270.37,269.856,293563300
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-11-03 05:00:00,270.42,273.4,266.25,268.47,267.959,242583900
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-11-10 05:00:00,268.96,276.7,267.46,272.41,271.892,232952800
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-11-17 05:00:00,268.82,275.43,265.32,271.49,271.236,235974500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-11-24 05:00:00,270.9,280.38,270.9,278.85,278.589,166067000
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-12-01 05:00:00,278.01,288.62,276.14,278.78,278.519,235050800
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-12-08 05:00:00,278.13,280.03,273.81,278.28,278.02,176224300
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-12-15 05:00:00,280.15,280.15,266.95,273.67,273.414,334459100
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-12-22 05:00:00,272.86,275.43,269.56,273.4,273.144,105646200
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2025-12-29 05:00:00,272.69,277.84,269,271.01,270.757,110986500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-01-05 05:00:00,270.64,271.51,255.7,259.37,259.128,236725400
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-01-12 05:00:00,259.16,261.82,254.93,255.53,255.291,242545400
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-01-19 05:00:00,252.73,254.79,243.42,248.04,247.808,216306500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-01-26 05:00:00,251.48,261.95,249.8,259.48,259.237,306601900
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-02-02 05:00:00,260.03,280.91,259.21,278.12,277.86,332284600
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-02-09 05:00:00,277.91,280.18,255.45,255.78,255.541,268299500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-02-16 05:00:00,258.05,266.82,255.54,264.58,264.58,165588200
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-02-23 05:00:00,263.49,276.11,262.89,264.18,264.18,222748700
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-03-02 05:00:00,262.41,266.53,254.37,257.46,257.46,210978500
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-03-09 04:00:00,255.69,262.48,249.52,250.12,250.12,172752200
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-03-16 04:00:00,252.11,255.13,246,247.99,247.99,223388900
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-03-23 04:00:00,253.97,257,248.07,248.8,248.8,203871800
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-03-30 04:00:00,250.07,256.18,245.51,255.92,255.92,160393100
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-04-06 04:00:00,256.51,262.16,256.46,258.86,258.86,29329900
AAPL,Apple Inc.,Technology,Consumer Electronics,3727000000000,2026-04-07 20:00:02,256.155,256.19,245.7,253.5,253.5,57693751
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-04-07 04:00:00,278.94,300.45,275.01,284.34,281.529,27364300
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-04-14 04:00:00,289.92,293.26,281.77,282.35,280.945,12077900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-04-21 04:00:00,282.34,296.94,275.98,293.39,291.93,14288700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-04-28 04:00:00,294.52,306.34,289.89,305.33,303.811,12610400
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-05-05 04:00:00,303.43,313.25,303.2,307.9,306.368,13621700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-05-12 04:00:00,316.47,325.71,309.73,317.69,316.109,15482300
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-05-19 04:00:00,315.79,322.86,307.87,309.58,308.039,13909600
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-05-26 04:00:00,313.52,318.99,312.01,316.82,315.243,13257000
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-06-02 04:00:00,313.63,320.15,310.6,317.65,316.069,14453300
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-06-09 04:00:00,318.01,321.77,311.28,311.71,310.159,11803500
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-06-16 04:00:00,314.33,317.05,273.19,285.37,283.95,21754300
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-06-23 04:00:00,286,301.65,284.23,295.46,293.99,21353400
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-06-30 04:00:00,296.74,305.3,295.74,304.78,303.263,11067000
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-07-07 04:00:00,303.53,307.77,280.43,281.06,279.661,19095500
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-07-14 04:00:00,280.69,283.82,275.96,282.44,282.44,19148900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-07-21 04:00:00,283.52,291,279.27,283.15,283.15,16108600
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-07-28 04:00:00,280.19,280.99,254.2,255.37,255.37,22295700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-08-04 04:00:00,258.08,259.14,238.03,239.2,239.2,32768400
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-08-11 04:00:00,238,249.4,236.67,247.01,247.01,23937300
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-08-18 04:00:00,247,262.17,245.1,259.22,259.22,19174400
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-08-25 04:00:00,259.22,260.38,253.16,259.97,259.97,15272700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-09-01 04:00:00,257.85,260.4,247.89,254.95,254.95,14873900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-09-08 04:00:00,255.28,256,238.01,238.54,238.54,23563700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-09-15 04:00:00,240.67,245.2,234.18,239.7,239.7,34319000
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-09-22 04:00:00,239.86,242.49,229.4,238.97,238.97,38267900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-09-29 04:00:00,240.5,252.1,237.25,245.32,245.32,31056200
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-10-06 04:00:00,246,254.17,240.71,240.94,240.94,23979500
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-10-13 04:00:00,242.23,247.31,233.6,238.39,238.39,20716100
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-10-20 04:00:00,240.1,252.09,239.74,247.65,247.65,17550200
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-10-27 04:00:00,249.44,255.44,245.48,250.1,250.1,20069000
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-11-03 05:00:00,249.53,249.53,239.44,245.76,245.76,19076200
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-11-10 05:00:00,247.34,249.15,238.53,245.21,245.21,16364500
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-11-17 05:00:00,243.93,253.97,237.43,251.85,251.85,17982600
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-11-24 05:00:00,250.99,251.94,243.24,250,250,13144200
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-12-01 05:00:00,253.13,280.71,251.02,266.59,266.59,24858200
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-12-08 05:00:00,265.73,277.65,265.01,271.56,271.56,17361200
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-12-15 05:00:00,276,281.13,261.5,272.25,272.25,30430700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-12-22 05:00:00,271.61,272.8,267.85,271.09,271.09,8362900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2025-12-29 05:00:00,270.98,273.27,258,259.95,259.95,11411500
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-01-05 05:00:00,260.83,286.57,259.48,280.67,280.67,20326400
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-01-12 05:00:00,279.54,291.09,273,286.21,286.21,25576900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-01-19 05:00:00,282.44,289,272.22,281.07,281.07,16832800
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-01-26 05:00:00,283.25,284.59,257.37,263.64,263.64,23527000
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-02-02 05:00:00,263.54,269.15,231.85,240.62,240.62,31314900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-02-09 05:00:00,235.59,243.6,215.16,224.23,224.23,33884000
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-02-16 05:00:00,225.62,229.11,211.06,215.35,215.35,26373400
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-02-23 05:00:00,212.12,214.02,188.73,208.72,208.72,54046700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-03-02 05:00:00,205.24,218.6,203,215,215,32565300
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-03-09 04:00:00,212.84,215.65,195.07,196.65,196.65,29417300
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-03-16 04:00:00,197.49,207.98,187,199.99,199.99,76581900
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-03-23 04:00:00,203.63,204.45,188.67,192.6,192.6,24119400
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-03-30 04:00:00,195,201.5,192,201.33,201.33,21872700
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-04-06 04:00:00,200.96,201.72,195.34,198.95,198.95,5501600
ACN,Accenture plc,Technology,Information Technology Services,121413000000,2026-04-07 19:59:59,198.98,200.27,196.507,197.38,197.38,2869430
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-04-07 04:00:00,163.2,198.46,158.65,179.16,176.468,43895100
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-04-14 04:00:00,183.26,185,170.39,176.27,173.621,14682000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-04-21 04:00:00,172.65,197.52,171,194.59,191.666,20521900
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-04-28 04:00:00,193.36,199.71,186.73,198.59,195.606,18992000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-05-05 04:00:00,196.16,210.14,194.26,207.51,204.392,14483800
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-05-12 04:00:00,222.87,228.8,219.1,227.11,223.697,22042700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-05-19 04:00:00,223.64,227.39,206,210.47,207.307,25500900
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-05-26 04:00:00,215.15,218.5,210.8,213.98,210.764,24119700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-06-02 04:00:00,212.4,225.35,212.22,222.26,218.92,16690900
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-06-09 04:00:00,223.82,236.12,223.41,225.03,222.657,17080800
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-06-16 04:00:00,228.13,233.08,225.57,228.35,225.942,13939000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-06-23 04:00:00,228.19,239.07,226.7,236.96,234.462,17433800
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-06-30 04:00:00,237.54,246.55,235.66,245.68,243.09,12135000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-07-07 04:00:00,244.81,247.73,240.36,244.68,242.1,14552500
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-07-14 04:00:00,243.13,245.76,236.28,241.85,239.3,13481600
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-07-21 04:00:00,243.33,245.72,222,227.82,225.418,24337100
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-07-28 04:00:00,228.91,232.64,218.85,221.71,219.373,16714800
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-08-04 04:00:00,221.42,225.64,218.37,223.95,221.589,14094600
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-08-11 04:00:00,225,238.27,223.44,231.63,229.188,18271700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-08-18 04:00:00,230.5,257.21,228.11,252.2,249.541,26340700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-08-25 04:00:00,252.64,258.13,250.52,251.31,248.66,20138700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-09-01 04:00:00,246.5,249.73,239.58,247.07,244.465,11881000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-09-08 04:00:00,248.05,250,244.98,245.21,243.584,11401700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-09-15 04:00:00,239.42,252,238.78,245.33,243.704,16177000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-09-22 04:00:00,245.61,250.36,243.52,247.56,245.919,11791400
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-09-29 04:00:00,249.33,249.5,236.22,241.99,240.386,15613000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-10-06 04:00:00,245.01,245.01,224.71,225.32,223.826,18931200
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-10-13 04:00:00,228.32,244.23,226.96,242.87,241.26,16114700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-10-20 04:00:00,242.87,248.83,236.63,238.01,236.432,16655700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-10-27 04:00:00,239.7,244.11,231.54,234.13,232.578,15004200
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-11-03 05:00:00,234.95,238.48,223.47,228.48,226.965,16905800
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-11-10 05:00:00,231.86,242,228.33,234.89,233.333,19318100
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-11-17 05:00:00,233.03,235.28,224.25,232.32,230.78,19412500
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-11-24 05:00:00,233.65,265.75,229.29,265.34,263.581,23577800
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-12-01 05:00:00,262.95,283.24,262,281.29,279.425,23890900
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-12-08 05:00:00,281.78,284.23,274.26,279.32,277.468,17974400
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-12-15 05:00:00,281.63,282.72,270.14,274.44,273.583,24750400
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-12-22 05:00:00,277.44,279.17,274.58,276.84,275.976,7767100
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2025-12-29 05:00:00,275.64,277.87,270.46,273.74,272.886,8435100
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-01-05 05:00:00,275.22,303.2,273.77,300.93,299.991,19868500
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-01-12 05:00:00,297.5,309.18,292.45,300.25,299.313,18013300
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-01-19 05:00:00,296.99,313.54,293.82,305.6,304.646,13775600
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-01-26 05:00:00,305.15,319.26,300.76,310.88,309.91,17736100
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-02-02 05:00:00,306.92,327.75,306.92,320.45,319.45,28305000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-02-09 05:00:00,319.33,343.96,317.89,337.1,336.048,17640200
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-02-16 05:00:00,335.6,355.45,330.33,355.03,353.922,23464800
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-02-23 05:00:00,352.53,363.2,346.57,355.79,354.679,22871400
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-03-02 05:00:00,348.78,356.05,314.31,315.81,314.824,21746000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-03-09 04:00:00,310.24,323.94,303.51,306.07,306.07,20492000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-03-16 04:00:00,311.67,316.91,300.91,309.43,309.43,19828200
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-03-23 04:00:00,315.48,328.18,306.18,307.44,307.44,16566300
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-03-30 04:00:00,314.03,325.75,300.56,318.34,318.34,13732200
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-04-06 04:00:00,320,327.46,318.75,327.36,327.36,2353700
ADI,"Analog Devices, Inc.",Technology,Semiconductors,159843000000,2026-04-07 20:00:02,323.79,327.51,321.19,327.41,327.41,2253827
